Name,Id,Candidate Hash,Candidate Archetype,Candidate Source,Candidate Year,Candidate Season,Trait Column 1 Options,Trait Column 2 Options,Replacement Name,Replacement Id,Replacement Hash,Replacement Archetype,Replacement Source,Replacement Year,Replacement Season,Frame Match,Reason
Battle Scar,6917529972567683829,2099894368,Lightweight Frame,engram,6,20,Shot Swap,Osmosis,Battle Scar,6917530186183878369,1525080480,Lightweight Frame,engram,8,28,True,Best legal perk combo scores 3.4 below the best copy.
Heliocentric QSc,6917530186183878907,1291040555,Lightweight Frame,engram,8,28,Enlightened Action | Moving Target,Kill Clip | Frenzy,Heliocentric QSc,6917529959998529816,3998080529,Lightweight Frame,engram,6,22,True,Best legal perk combo scores 4.6 below the best copy; selected main-trait pair is duplicated by a stronger retained copy.
Heliocentric QSc,6917530186412730403,1291040555,Lightweight Frame,engram,8,28,Enlightened Action | Demolitionist,Kill Clip | Frenzy,Heliocentric QSc,6917529959998529816,3998080529,Lightweight Frame,engram,6,22,True,Best legal perk combo scores 3.3 below the best copy.
Heliocentric QSc,6917530187758497859,1291040555,Lightweight Frame,engram,8,28,Enlightened Action | Rangefinder,Adrenaline Junkie | Frenzy,Heliocentric QSc,6917529959998529816,3998080529,Lightweight Frame,engram,6,22,True,Best legal perk combo scores 4.6 below the best copy.
Last Foray,6917530021373541933,1106635211,Aggressive Frame,engram,6,21,Field Prep,Incandescent,Last Foray,6917530186173514903,4118936670,Aggressive Frame,engram,8,28,True,Best legal perk combo scores 3.2 below the best copy.
Last Foray,6917530025724457321,1106635211,Aggressive Frame,engram,6,21,Lead from Gold,Box Breathing,Last Foray,6917530186173514903,4118936670,Aggressive Frame,engram,8,28,True,Best legal perk combo scores 4.3 below the best copy.
Positive Outlook,6917529905690359559,491078457,Precision Frame,strikes,6,21,Tunnel Vision,Destabilizing Rounds,Positive Outlook,6917530189637070427,3625635456,Precision Frame,monumentoftriumph,8,28,True,Best legal perk combo scores 5.0 below the best copy.
Retold Tale,6917529873772194141,346136302,Precision Frame,dreaming,2,4,Field Prep,One-Two Punch,Retold Tale,6917530189141749536,3442151842,Precision Frame,dreaming,8,28,True,Best legal perk combo scores 3.0 below the best copy.
Retold Tale,6917529961362650356,871900124,Precision Frame,,6,23,Slideshot,Destabilizing Rounds,Retold Tale,6917530189141749536,3442151842,Precision Frame,dreaming,8,28,True,Best legal perk combo scores 4.1 below the best copy.
Retold Tale,6917529975894726723,871900124,Precision Frame,,6,23,Repulsor Brace,Barrel Constrictor,Retold Tale,6917530189141749536,3442151842,Precision Frame,dreaming,8,28,True,Best legal perk combo scores 5.0 below the best copy.
True Prophecy,6917529356814655909,2742838700,Aggressive Frame,engram,3,10,Opening Shot,Explosive Payload,True Prophecy,6917530186327109608,960948343,Aggressive Frame,engram,8,28,True,Best legal perk combo scores 3.6 below the best copy.
Truthteller,6917530063067470395,447296102,Lightweight Frame,engram,7,24,Moving Target,Collective Action,Truthteller,6917529196940409886,1946491241,Lightweight Frame,engram,3,11,True,Best legal perk combo scores 3.5 below the best copy.
Truthteller,6917530063382112988,447296102,Lightweight Frame,engram,7,24,Moving Target,Harmony,Truthteller,6917529196940409886,1946491241,Lightweight Frame,engram,3,11,True,Best legal perk combo scores 3.8 below the best copy.
Truthteller,6917530064654192693,447296102,Lightweight Frame,engram,7,24,Moving Target,Threat Detector,Truthteller,6917529196940409886,1946491241,Lightweight Frame,engram,3,11,True,Best legal perk combo scores 3.5 below the best copy.
Twilight Oath,6917529967446758461,1874424704,Rapid-Fire Frame,dreaming,6,23,Envious Assassin,Snapshot Sights,Twilight Oath,6917530187758496207,268357178,Rapid-Fire Frame,dreaming,8,28,True,Best legal perk combo scores 3.3 below the best copy.
Vouchsafe,6917529866071736407,3242168339,Lightweight Frame,dreaming,2,4,Outlaw,Explosive Payload,Vouchsafe,6917529961894155892,355922321,Lightweight Frame,dreaming,6,23,True,Best legal perk combo scores 4.5 below the best copy.
