Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
21% Delirium,1600633250,"""6917530029202663520""",,Legendary,0,Machine Gun,gambit,Power,Arc,heavy,459,Rapid-Fire Frame,Stability,10,Vault,false,false,false,2,6,,75,70,25,44,16,0,0,0,67,900,37,102,48,0,0,0,0,0,0,0,0,16,45,0,0,false,0,268,,,,Rapid-Fire Frame*,Polygonal Rifling*,Extended Mag*,Overflow*,Killing Tally*,Kill Tracker,Counterbalance Stock*,Masterworked: Stability*,,,,,,,,,,,
A Distant Pull,1769847435,"""6917529979575855288""",,Legendary,0,Sniper Rifle,sonar,KineticSlot,Stasis,special,10,Rapid-Fire Frame,Handling,1,Vault,false,false,false,6,21,,58,72,55,40,35,0,0,0,40,140,56,6,61,0,0,0,0,0,0,0,0,10,39,0,0,false,0,2,,,,Rapid-Fire Frame*,Full Bore*,Steady Rounds*,Triple Tap*,Headstone*,Kill Tracker,Unsated Hunger*,Tier 1: Handling*,,,,,,,,,,,
A Sudden Death,2855157553,"""6917529739823905911""",,Legendary,0,Shotgun,dungeon,Energy,Arc,special,10,Aggressive Frame,Handling,2,Vault,false,false,false,4,15,,74,30,80,34,12,0,0,0,26,55,32,5,11,0,0,0,0,0,0,0,0,2,38,0,0,false,0,0,,,,Aggressive Frame*,Rifled Barrel*,Smoothbore,Appended Mag*,Light Mag,Slideshot*,Surrounded*,Kill Tracker,Tier 2: Handling*,,,,,,,,,,
A Sudden Death,2855157553,"""6917529980839550749""",,Legendary,0,Shotgun,dungeon,Energy,Arc,special,10,Aggressive Frame,Stability,1,Vault,false,false,false,4,15,,74,30,80,34,12,0,0,0,27,55,32,5,9,0,0,0,0,0,0,0,0,2,38,0,0,false,0,0,,,,Aggressive Frame*,Rifled Barrel*,Full Choke,Appended Mag*,Tactical Mag,Surplus*,Surrounded*,Kill Tracker,Tier 1: Stability*,,,,,,,,,,
A Swift Verdict,1626503676,"""6917529739068833846""",,Legendary,0,Sidearm,dungeon,Energy,Void,primary,10,Precision Frame,Range,5,Vault,false,false,false,4,15,,95,90,51,57,12,0,0,0,50,260,25,14,47,0,0,0,0,0,0,0,0,12,32,0,0,false,0,0,,,,Precision Frame*,Control SAS*,Target SAS,Appended Mag*,High-Caliber Rounds,Surplus*,Wellspring*,Kill Tracker,Tier 5: Range*,,,,,,,,,,
Abide the Return,1644160541,"""6917529841410275834""",,Legendary,0,Sword,dreaming,Power,Solar,heavy,10,Adaptive Frame,Impact,3,Vault,false,false,false,2,4,,0,0,59,0,0,0,0,0,0,0,0,74,0,0,0,0,20,40,40,40,0,0,0,0,0,false,0,0,,,,Adaptive Frame*,Enduring Blade*,Jagged Edge,Balanced Guard*,Heavy Guard,Relentless Strikes*,Whirlwind Blade*,Kill Tracker,Tier 3: Impact*,,,,,,,,,,
Abide the Return,250721843,"""6917529961365473479""",,Legendary,0,Sword,dreaming,Power,Solar,heavy,10,Adaptive Frame,Impact,3,Vault,false,false,false,6,23,,0,0,59,0,0,0,0,0,0,0,0,74,0,0,0,0,20,40,40,40,0,0,0,0,0,false,0,0,,,,Adaptive Frame*,Enduring Blade*,Jagged Edge,Balanced Guard*,Swordmaster's Guard,Relentless Strikes*,Incandescent*,Advanced Reflexes*,Kill Tracker,Tier 3: Impact*,,,,,,,,,
Abide the Return,250721843,"""6917529971510807039""",,Legendary,0,Sword,dreaming,Power,Solar,heavy,10,Adaptive Frame,Impact,1,Vault,false,false,false,6,23,,0,0,62,0,0,0,0,0,0,0,0,67,0,0,0,0,20,80,0,40,0,0,0,0,0,false,0,15,,,"AI v2.3 COULD DELETE — same weapon name, hash/version, and intrinsic frame as the proposed retained copy. Selected main-trait pair is duplicated by a stronger retained copy; legal main-trait options are covered by a stronger copy. Retain Abide the Return ID 6917529961365473479. Still review origin-trait selection, barrels, magazines, Masterwork, stats, source, build role, and personal feel before dismantling.",Adaptive Frame*,Honed Edge*,Tempered Edge,Burst Guard*,Enduring Guard,Relentless Strikes*,Incandescent*,Advanced Reflexes*,Kill Tracker,Tier 1: Impact*,,,,,,,,,
Abide the Return,250721843,"""6917529975887372133""",,Legendary,0,Sword,dreaming,Power,Solar,heavy,10,Adaptive Frame,Impact,3,Vault,false,false,false,6,23,,0,0,59,0,0,0,0,0,0,0,0,74,0,0,0,0,20,80,0,40,0,0,0,0,0,false,0,0,,,,Adaptive Frame*,Enduring Blade*,Tempered Edge,Burst Guard*,Enduring Guard,Thresh*,Attrition Orbs*,Advanced Reflexes*,Kill Tracker,Tier 3: Impact*,,,,,,,,,
Abide the Return,1291270049,"""6917530187760624028""",keep,Legendary,5,Sword,dreaming,Power,Solar,heavy,395,Adaptive Frame,Impact,3,Vault,true,false,false,8,28,,0,0,59,0,0,0,0,0,0,0,0,74,0,0,0,0,20,41,43,40,0,0,0,0,0,false,0,0,,,,Adaptive Frame*,Enduring Blade*,Jagged Edge,Balanced Guard*,Enduring Guard,Tireless Blade*,Turnabout,Unrelenting,Whirlwind Blade*,Attrition Orbs,Eager Edge,Advanced Reflexes*,Kill Tracker,Tier 3: Impact*,Triumphant Pulse*,,,,
